THREADS,TIME_SEQ(s),TIME_OMP(s),TIME_THREAD(s)
1,14.2894,21.4223,21.4256
2,14.2894,10.874,10.8385
3,14.2894,7.258,7.17554
4,14.2894,5.45106,5.44056
5,14.2894,4.31834,4.32426
6,14.2894,3.68194,3.62879
7,14.2894,3.11173,3.09378
8,14.2894,2.78425,2.78426
9,14.2894,2.41906,2.41063
10,14.2894,2.19061,2.1923
11,14.2894,2.03198,1.97908
12,14.2894,1.83044,1.81798
13,14.2894,1.68685,1.67313
14,14.2894,1.59782,1.57654
15,14.2894,1.45896,1.44358
16,14.2894,1.40114,1.39735
17,14.2894,1.28168,1.28084
18,14.2894,1.23564,1.23018
19,14.2894,1.15772,1.14571
20,14.2894,1.09384,1.18868
21,14.2894,1.05611,1.14226
22,14.2894,1.01473,1.00435
23,14.2894,0.947193,0.963212
24,14.2894,0.93193,1.03655
25,14.2894,0.872161,1.02946
26,14.2894,0.853031,0.991291
27,14.2894,1.00862,0.947596
28,14.2894,0.789662,0.921394
29,14.2894,0.75292,0.746038
30,14.2894,0.733951,0.897453
31,14.2894,0.703047,0.707958
32,14.2894,0.728566,0.897532
33,14.2894,0.671549,0.733811
34,14.2894,0.647646,0.734982
35,14.2894,0.636497,0.622681
36,14.2894,0.611405,0.782849
37,14.2894,0.593107,1.01988
38,14.2894,0.586059,0.580838
39,14.2894,0.570008,1.00564
40,14.2894,0.569307,1.02382
41,14.2894,0.533342,0.937993
42,14.2894,0.528357,0.589055
43,14.2894,0.508148,0.967798
44,14.2894,0.501534,0.596784
45,14.2894,0.489471,0.797772
46,14.2894,0.568086,0.737526
47,14.2894,0.46693,0.636728
48,14.2894,0.469355,0.558843
49,14.2894,0.447881,0.605762
50,14.2894,0.442846,0.578769
51,14.2894,0.429787,0.549034
52,14.2894,0.493095,0.52779
